geoid,Children 5-17,Children Under 5,Median Income for Children Under 18,Non-English Speakers
41067030101,0.10741561961074156,0.03510716925351072,108250,8118
41067030102,0.15790234036405662,0.06342097659635944,133578,6922
41067030200,0.16125670041691484,0.055687909469922574,113690,6716
41067030300,0.1736670293797606,0.03329706202393906,136563,4595
41067030401,0.13930552701869736,0.04170947195397576,66394,4867
41067030402,0.10131811922093252,0.027346055479047806,120083,5083
41067030501,0.1120937885643768,0.05244755244755245,80417,4862
41067030502,0.10501721593703886,0.09173635022134777,102361,4066
41067030600,0.11605865522174535,0.05740343347639485,94840,5592
41067030700,0.13122171945701358,0.026395173453996983,45865,1326
41067030801,0.1344672190725396,0.08344236080825701,57899,6879
41067030803,0.13076622361219703,0.03401094605160281,75417,5116
41067030805,0.12080359503039916,0.06661379857256146,78798,3783
41067030806,0.1965780851838369,0.07389879868947943,111445,2747
41067030900,0.14183019234505537,0.08509811540703323,53836,5147
41067031003,0.17496290300822878,0.04627006610009443,77691,7413
41067031004,0.16391623907918457,0.0422964914713632,92208,7211
41067031005,0.1984126984126984,0.07142857142857142,51203,5544
41067031006,0.1550340651021953,0.0757002271006813,68968,6605
41067031100,0.09454012458776108,0.07255404910223526,56324,2729
41067031200,0.20490750256937307,0.044064748201438846,52083,7784
41067031300,0.15086034413765506,0.06429238362011472,47552,7497
41067031402,0.1457206490614063,0.07031498568246898,67260,3143
41067031403,0.16925559814403873,0.07343151099455315,67528,4957
41067031404,0.16036830999424515,0.05121810857471706,79844,5213
41067031504,0.14381846635367762,0.06463223787167449,88384,6390
41067031506,0.1979033495269752,0.05548453081053439,93304,3911
41067031507,0.20806154875397223,0.05970898143502258,110729,5979
41067031508,0.2406755805770584,0.05242786769880366,159808,8526
41067031509,0.2019914651493599,0.08345187292555714,111250,4218
41067031511,0.1871233745639074,0.04630510624801776,104125,3153
41067031512,0.22712252160650737,0.06545500762582614,100362,7868
41067031513,0.2695514092894006,0.049305279872965464,157232,12595
41067031514,0.22743682310469315,0.06527075812274369,111080,6925
41067031606,0.20204379562043795,0.10072992700729927,63673,6850
41067031609,0.1376281112737921,0.06554129704590475,63525,11611
41067031610,0.14111310592459606,0.03985637342908438,71758,8355
41067031611,0.10271703114645461,0.09542743538767395,86098,7545
41067031612,0.1858894170627971,0.0955716787590693,76638,3997
41067031613,0.1905987537252777,0.07856949336223246,59225,7382
41067031614,0.18381690394665706,0.06812038205081997,87105,5549
41067031615,0.16879649055884036,0.08086973106999809,68967,5243
41067031616,0.0772919605077574,0.06375176304654442,63922,3545
41067031617,0.07501036054703689,0.07190219643597182,88750,4826
41067031703,0.17789598108747046,0.09909377462568952,59912,5076
41067031704,0.1873345335168908,0.0770941438102298,82831,9443
41067031705,0.1681312243702402,0.08865455965631712,56722,5121
41067031706,0.1971350613915416,0.08015006821282401,46563,5864
41067031804,0.21152340692030688,0.04133395960544857,93158,6387
41067031805,0.19523433385992628,0.060689836756187464,107088,7596
41067031806,0.1663045295002507,0.07237171987297343,83032,5983
41067031807,0.12829131652661063,0.045658263305322126,93220,3570
41067031812,0.14740673339399454,0.045859872611464965,88142,5495
41067031813,0.19522398466097263,0.06466794491894719,139730,5737
41067031814,0.18799407114624506,0.053606719367588936,133068,4048
41067031815,0.18351025156318163,0.04202413843245601,111766,6877
41067031904,0.13255360623781676,0.08576998050682261,111429,3078
41067031907,0.1394184168012924,0.04345718901453958,69253,6190
41067031908,0.19188582000792917,0.05127527421699485,123542,7567
41067031909,0.2311683320522675,0.04842428900845504,115741,5204
41067031910,0.2062534896705751,0.05605806811836963,125478,8955
41067031911,0.1342158485015628,0.09082551939694797,84160,5439
41067031912,0.17698177193726156,0.05129292072912251,90741,4718
41067032001,0.10999803574936162,0.057945393832252994,79375,5091
41067032003,0.13881163084702908,0.07509481668773704,37740,3955
41067032004,0.17476168860644575,0.03858374943259192,88846,2203
41067032005,0.2037914691943128,0.07970702283498492,32813,4642
41067032103,0.2471962183705626,0.07201779590323477,99345,10789
41067032104,0.2249794913863823,0.06767842493847416,109095,4876
41067032107,0.15052296498408368,0.06866757617098682,103684,2199
41067032108,0.17573908962928203,0.0661661191928672,111375,4262
41067032109,0.2527892891297418,0.04909148868345553,152407,3137
41067032110,0.12890625,0.02978515625,89531,4096
41067032200,0.1822187662001037,0.10031104199066875,108611,7716
41067032300,0.21533682145192937,0.0709614126880314,83920,6116
41067032404,0.15503990540939994,0.05675436003547148,81750,6766
41067032406,0.19963804999434454,0.05915620404931569,86214,8841
41067032407,0.19519071310116087,0.08325041459369818,95469,6030
41067032408,0.1992086064053419,0.079015704216644,116083,8087
41067032409,0.22687747035573122,0.1450592885375494,24889,5060
41067032410,0.2529616724738676,0.0910569105691057,71231,4305
41067032501,0.15733778891673628,0.06516290726817042,42115,3591
41067032502,0.1342348284960422,0.08344327176781002,77500,3032
41067032503,0.20892857142857144,0.0548469387755102,81875,3920
41067032603,0.21888646288209607,0.0652292576419214,102977,7328
41067032604,0.1213166144200627,0.09733542319749217,64920,6380
41067032606,0.20499134448932488,0.046884016156953263,78181,6932
41067032607,0.05136741973840666,0.023781212841854936,111250,4205
41067032608,0.13740771123872025,0.06726825266611977,98011,2438
41067032609,0.1890020366598778,0.07087576374745418,115625,2455
41067032610,0.19927416694160344,0.07720224348399868,84167,3031
41067032700,0.14624198873567684,0.049718391920761315,87799,5149
41067032800,0.16692426584234932,0.07341576506955177,82750,1294
41067032901,0.19951923076923078,0.06586538461538462,67976,6240
41067032902,0.2264249380461719,0.06925785835398461,57875,7667
41067033000,0.14362532523850824,0.04995663486556808,69964,5765
41067033101,0.1581225033288948,0.07756324900133156,58667,3004
41067033102,0.16505406943653955,0.05264655663062037,46625,3514
41067033200,0.1815706506162224,0.06377185439954142,48193,6978
41067033301,0.21195743962168553,0.08900523560209424,73474,5921
41067033302,0.20193360087559284,0.05454213790587377,104583,5482
41067033400,0.14738722644037516,0.05091558731576597,103804,2239
41067033500,0.20466082141209044,0.05722196585140748,100500,4334
41067033600,0.14493392070484581,0.03656387665198238,70556,2270
