Census Tract,Median Income for Households with Children Under 18
41067030101,108250
41067030102,133578
41067030200,113690
41067030300,136563
41067030401,66394
41067030402,120083
41067030501,80417
41067030502,102361
41067030600,94840
41067030700,45865
41067030801,57899
41067030803,75417
41067030805,78798
41067030806,111445
41067030900,53836
41067031003,77691
41067031004,92208
41067031005,51203
41067031006,68968
41067031100,56324
41067031200,52083
41067031300,47552
41067031402,67260
41067031403,67528
41067031404,79844
41067031504,88384
41067031506,93304
41067031507,110729
41067031508,159808
41067031509,111250
41067031511,104125
41067031512,100362
41067031513,157232
41067031514,111080
41067031606,63673
41067031609,63525
41067031610,71758
41067031611,86098
41067031612,76638
41067031613,59225
41067031614,87105
41067031615,68967
41067031616,63922
41067031617,88750
41067031703,59912
41067031704,82831
41067031705,56722
41067031706,46563
41067031804,93158
41067031805,107088
41067031806,83032
41067031807,93220
41067031812,88142
41067031813,139730
41067031814,133068
41067031815,111766
41067031904,111429
41067031907,69253
41067031908,123542
41067031909,115741
41067031910,125478
41067031911,84160
41067031912,90741
41067032001,79375
41067032003,37740
41067032004,88846
41067032005,32813
41067032103,99345
41067032104,109095
41067032107,103684
41067032108,111375
41067032109,152407
41067032110,89531
41067032200,108611
41067032300,83920
41067032404,81750
41067032406,86214
41067032407,95469
41067032408,116083
41067032409,24889
41067032410,71231
41067032501,42115
41067032502,77500
41067032503,81875
41067032603,102977
41067032604,64920
41067032606,78181
41067032607,111250
41067032608,98011
41067032609,115625
41067032610,84167
41067032700,87799
41067032800,82750
41067032901,67976
41067032902,57875
41067033000,69964
41067033101,58667
41067033102,46625
41067033200,48193
41067033301,73474
41067033302,104583
41067033400,103804
41067033500,100500
41067033600,70556
