Census Tract,"Children Under 18 Who Received Public Assistance (Suplemental Security Income, Cash Assistance, or Food Stamps/SNAP)"
41067030101,0
41067030102,135
41067030200,351
41067030300,54
41067030401,184
41067030402,50
41067030501,157
41067030502,99
41067030600,16
41067030700,87
41067030801,332
41067030803,257
41067030805,64
41067030806,188
41067030900,242
41067031003,636
41067031004,80
41067031005,423
41067031006,492
41067031100,188
41067031200,667
41067031300,836
41067031402,260
41067031403,284
41067031404,186
41067031504,40
41067031506,124
41067031507,112
41067031508,105
41067031509,77
41067031511,73
41067031512,380
41067031513,285
41067031514,217
41067031606,546
41067031609,1198
41067031610,458
41067031611,120
41067031612,545
41067031613,395
41067031614,272
41067031615,495
41067031616,145
41067031617,57
41067031703,562
41067031704,341
41067031705,332
41067031706,631
41067031804,427
41067031805,394
41067031806,200
41067031807,186
41067031812,244
41067031813,109
41067031814,42
41067031815,95
41067031904,185
41067031907,201
41067031908,219
41067031909,154
41067031910,274
41067031911,177
41067031912,239
41067032001,118
41067032003,392
41067032004,81
41067032005,705
41067032103,116
41067032104,167
41067032107,19
41067032108,134
41067032109,49
41067032110,5
41067032200,78
41067032300,555
41067032404,671
41067032406,164
41067032407,401
41067032408,219
41067032409,1279
41067032410,194
41067032501,421
41067032502,101
41067032503,290
41067032603,451
41067032604,526
41067032606,790
41067032607,0
41067032608,98
41067032609,71
41067032610,119
41067032700,326
41067032800,69
41067032901,499
41067032902,602
41067033000,254
41067033101,196
41067033102,521
41067033200,602
41067033301,405
41067033302,152
41067033400,24
41067033500,97
41067033600,153
