Census Tract,African American,American Indian and Alaska Native,Asian,Hispanic or Latino,Native Hawaiian and Other Pacific Islander,Other Race,Two or More Races,White
41067030101,0,0,161,47,0,16,203,777
41067030102,0,15,300,82,0,13,82,1122
41067030200,256,0,0,37,0,78,130,993
41067030300,12,0,0,74,68,0,65,806
41067030401,11,60,0,216,0,14,87,709
41067030402,29,0,84,128,0,128,36,377
41067030501,0,0,0,322,0,198,43,559
41067030502,0,0,8,42,0,0,53,739
41067030600,0,8,28,100,0,0,139,795
41067030700,26,0,0,20,0,12,31,140
41067030801,21,14,26,352,0,57,186,1195
41067030803,42,0,0,216,151,14,92,544
41067030805,0,0,35,55,0,0,62,612
41067030806,0,21,48,148,0,10,37,627
41067030900,199,42,0,298,0,45,19,863
41067031003,0,0,100,409,0,219,334,987
41067031004,147,0,102,77,0,25,90,1123
41067031005,0,0,65,912,0,211,63,1157
41067031006,0,55,86,218,0,114,281,988
41067031100,32,0,0,233,0,64,46,314
41067031200,0,112,0,889,105,225,103,1393
41067031300,0,0,0,937,0,152,20,1441
41067031402,0,0,26,196,0,121,59,473
41067031403,0,0,94,446,0,299,169,641
41067031404,0,0,13,372,0,19,84,987
41067031504,0,0,119,271,0,0,82,1131
41067031506,0,0,37,108,0,60,104,790
41067031507,45,0,211,139,0,122,202,1021
41067031508,43,0,572,33,0,0,166,1718
41067031509,0,0,295,200,0,31,70,808
41067031511,10,0,208,66,0,10,0,508
41067031512,165,0,349,160,20,0,179,1589
41067031513,22,0,1803,156,0,58,496,1637
41067031514,127,0,591,230,0,0,363,946
41067031606,232,0,214,822,0,248,161,1219
41067031609,111,52,460,709,0,68,155,1513
41067031610,83,0,150,656,0,314,223,742
41067031611,38,0,613,49,0,0,51,793
41067031612,117,13,52,325,0,67,53,823
41067031613,119,3,198,645,51,469,219,928
41067031614,0,0,293,280,6,106,150,843
41067031615,34,0,109,588,0,311,103,752
41067031616,0,0,72,159,0,111,26,291
41067031617,52,12,158,169,0,0,229,258
41067031703,0,0,71,514,0,214,117,1004
41067031704,0,63,86,517,0,296,131,1921
41067031705,150,15,94,524,0,144,108,804
41067031706,78,0,59,967,0,424,224,841
41067031804,0,12,128,449,0,280,177,1018
41067031805,80,0,116,405,0,21,341,1386
41067031806,87,0,92,348,0,112,136,1001
41067031807,0,0,36,123,0,75,109,401
41067031812,0,0,181,226,0,0,47,834
41067031813,25,0,258,96,17,0,42,1149
41067031814,0,0,132,38,0,16,156,674
41067031815,18,15,283,112,0,12,66,1157
41067031904,0,0,39,120,0,20,71,542
41067031907,0,16,35,234,0,0,41,1040
41067031908,60,0,330,260,14,0,203,1233
41067031909,0,0,149,76,0,14,116,1176
41067031910,1,0,229,420,0,36,523,1560
41067031911,31,0,155,215,0,163,24,851
41067031912,1,0,37,145,0,0,79,960
41067032001,0,0,0,167,0,57,50,748
41067032003,25,0,40,339,0,50,94,637
41067032004,7,0,14,131,0,32,3,414
41067032005,35,0,10,818,54,4,132,1081
41067032103,21,8,79,282,28,117,211,2980
41067032104,0,20,23,59,0,0,67,1317
41067032107,0,0,5,87,0,0,24,453
41067032108,0,10,15,179,0,34,138,834
41067032109,0,0,39,111,0,44,58,806
41067032110,23,0,71,73,0,0,30,526
41067032200,0,29,36,191,0,42,101,1972
41067032300,92,35,150,463,0,128,164,1182
41067032404,0,0,22,437,87,0,415,909
41067032406,0,0,61,468,0,117,394,1716
41067032407,19,0,147,460,0,0,101,1412
41067032408,0,0,344,279,0,15,567,1324
41067032409,6,99,12,1649,0,447,19,1299
41067032410,25,0,30,1013,0,254,247,925
41067032501,1,43,30,566,0,109,68,548
41067032502,21,0,12,171,0,20,134,473
41067032503,15,3,77,539,0,136,156,647
41067032603,0,0,110,633,0,0,222,1750
41067032604,0,0,58,729,0,191,193,953
41067032606,0,0,13,1008,0,69,138,1526
41067032607,0,0,107,14,0,14,61,134
41067032608,0,0,82,103,0,24,45,348
41067032609,52,0,52,145,0,53,61,420
41067032610,12,0,22,192,0,47,106,651
41067032700,7,0,9,275,0,121,45,827
41067032800,0,0,0,36,0,0,12,299
41067032901,15,0,46,733,0,229,211,1155
41067032902,0,0,0,1707,0,409,117,1741
41067033000,0,0,21,157,0,67,96,932
41067033101,0,12,0,209,0,45,68,583
41067033102,0,0,0,447,0,124,21,620
41067033200,24,0,41,926,0,313,126,1208
41067033301,41,0,51,419,0,15,124,1551
41067033302,0,0,16,150,0,7,75,1308
41067033400,0,0,0,30,0,0,57,387
41067033500,0,0,0,141,0,81,75,979
41067033600,0,0,0,53,0,36,10,366
